id,category_group,name,price,brand,color,rating,sold_qty,url,image
361703,Điện thoại,Điện thoại realme 16 5G 8GB/256GB,10140000,realme,Trắng,4.9,Đã bán 11k,https://www.thegioididong.com/dtdd/realme-16-5g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/361703/realme-16-trang-thumb-600x600.jpg
344641,Điện thoại,Điện thoại HONOR Magic V5 5G 16GB/512GB,34840000,HONOR,Đen,5,Đã bán 225,https://www.thegioididong.com/dtdd/honor-magic-v5-5g-16gb-512gb,https://cdn.tgdd.vn/Products/Images/42/344641/honor-magic-v5-black-thumb-600x600.jpg
362374,Điện thoại,Điện thoại Motorola Edge 70 8GB/256GB,9240000,Motorola,Xám,4.9,"Đã bán 1,5k",https://www.thegioididong.com/dtdd/motorola-edge-70-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/362374/motorola-edge-70-8gb-256gb-xam-thumb-1-600x600.jpg
329135,Điện thoại,Điện thoại iPhone 16 128GB,24990000,iPhone (Apple),Xanh Lưu Ly,4.9,"Đã bán 31,4k",https://www.thegioididong.com/dtdd/iphone-16,https://cdn.tgdd.vn/Products/Images/42/329135/iphone-16-blue-600x600.png
334864,Điện thoại,Điện thoại iPhone 16e 128GB,16990000,iPhone (Apple),Trắng,4.9,Đã bán 7k,https://www.thegioididong.com/dtdd/iphone-16e,https://cdn.tgdd.vn/Products/Images/42/334864/iphone-16e-white-thumb-600x600.jpg
333363,Điện thoại,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,16790000,Samsung,Xanh lá,4.9,"Đã bán 16,5k",https://www.thegioididong.com/dtdd/samsung-galaxy-s25,https://cdn.tgdd.vn/Products/Images/42/333363/samsung-galaxy-s25-green-thumbai-600x600.jpg
360310,Điện thoại,Điện thoại Xiaomi Redmi Note 15 5G 6GB/128GB,5490000,Xiaomi,Xanh Dương,4.9,"Đã bán 2,5k",https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-5g-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/360310/xiaomi-redmi-note-15-5g-thumb-600x600.jpg
339245,Điện thoại,Điện thoại HONOR 400 Lite 12GB/256GB,8180000,HONOR,Xanh lá,4.9,"Đã bán 8,6k",https://www.thegioididong.com/dtdd/honor-400-lite,https://cdn.tgdd.vn/Products/Images/42/339245/honor-400-lite-green-thumb-600x600.jpg
360344,Điện thoại,Điện thoại realme C85 8GB/128GB,5940000,realme,Xanh dương nhạt,4.9,"Đã bán 21,9k",https://www.thegioididong.com/dtdd/realme-c85-8gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/360344/realme-c85-8gb-128gb-xanh-thumb-600x600.jpg
369546,Điện thoại,Điện thoại Motorola G06 POWER 4GB/64GB,3440000,Motorola,Xanh Dương,,,https://www.thegioididong.com/dtdd/motorola-g06-power-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/369546/TimerThumb/369546-600x600.png
341688,Điện thoại,Điện thoại Samsung Galaxy A17 5G 8GB/128GB,6000000,Samsung,Xám,4.9,Đã bán 13k,https://www.thegioididong.com/dtdd/samsung-galaxy-a17-5g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/341688/galaxy-a17-5g-gray-thumbai-600x600.jpg
360312,Điện thoại,Điện thoại Xiaomi Redmi Note 15 Pro 5G 8GB/256GB,7990000,Xiaomi,Titan xám,4.9,"Đã bán 50,9k",https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-5g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/360312/xiaomi-redmi-note-15-pro-5g-8gb-256gb-titan-thumb-600x600.jpg
339180,Điện thoại,Điện thoại vivo Y39 5G 8GB/128GB,6720000,vivo,Tím,4.9,"Đã bán 27,1k",https://www.thegioididong.com/dtdd/vivo-y39-5g?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/339180/vivo-y39-5g-tim-thumb-600x600.jpg
357832,Điện thoại,Điện thoại realme C85 Pro 8GB/128GB,5840000,realme,Tím,4.9,"Đã bán 17,6k",https://www.thegioididong.com/dtdd/realme-c85-pro-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/357832/realme-c85-pro-tim-thumb-600x600.jpg
339638,Điện thoại,Điện thoại HONOR 400 5G 12GB/256GB Đen,11100000,HONOR,Đen,4.9,"Đã bán 1,4k",https://www.thegioididong.com/dtdd/honor-400-5g-12gb-256gb-den,https://cdn.tgdd.vn/Products/Images/42/339638/honor-400-5g-12gb-256gb-den-thumb-600x600.jpg
362760,Điện thoại,Điện thoại realme C85 5G 8GB/128GB,6630000,realme,Xanh,5,"Đã bán 3,3k",https://www.thegioididong.com/dtdd/realme-c85-5g-8gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/362760/realme-c85-xanh-thumb-600x600.jpg
366660,Điện thoại,Điện thoại Tecno Spark 40 6GB/128GB,3440000,Tecno,Đen,5,"Đã bán 1,4k",https://www.thegioididong.com/dtdd/tecno-spark-40-6gb-128gb,https://cdn.tgdd.vn/Products/Images/42/366660/tecno-spark-40-6gb-128gb-den-thumb-600x600.jpg
358048,Điện thoại,Điện thoại Motorola G35 5G 4GB/128GB,4070000,Motorola,Xanh lá,4.9,"Đã bán 8,8k",https://www.thegioididong.com/dtdd/motorola-moto-g35-5g-4gb-128gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/358048/motorola-moto-g35-5g-4gb-128gb-xanh-thumb-1-600x600.jpg
366829,Điện thoại,Điện thoại realme C100i 4GB/64GB,4940000,realme,Xám,5,Đã bán 20k,https://www.thegioididong.com/dtdd/realme-c100i-4gb-64gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/366829/realme-c100i-xam-thumb-1-600x600.jpg
363438,Điện thoại,Điện thoại realme P4 Power 5G 12GB/256GB,13690000,realme,Cam,4.9,"Đã bán 3,8k",https://www.thegioididong.com/dtdd/realme-p4-power-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/363438/realme-p4-power-cam-thumb-600x600.jpg
342560,Điện thoại,Điện thoại Samsung Galaxy S25 FE 5G 8GB/128GB,12490000,Samsung,Xanh dương nhạt,4.9,"Đã bán 8,8k",https://www.thegioididong.com/dtdd/samsung-galaxy-s25-fe-5g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/342560/samsung-galaxy-s25-fe-blue-thumbai-600x600.jpg
360240,Điện thoại,Điện thoại OPPO Reno15 F 5G 8GB/256GB,11840000,OPPO,Hồng,4.9,"Đã bán 25,5k",https://www.thegioididong.com/dtdd/oppo-reno15f-5g-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/360240/oppo-reno15f-5g-8gb-256gb-hong-thumb-600x600.jpg
360307,Điện thoại,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB,6690000,Xiaomi,Đen,4.9,"Đã bán 34,3k",https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-8gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/360307/xiaomi-redmi-note-15-pro-8gb-256gb-den-thumb-600x600.jpg
344650,Điện thoại,Điện thoại OPPO A6 Pro 8GB/256GB,9020000,OPPO,Titan xanh,4.9,"Đã bán 38,6k",https://www.thegioididong.com/dtdd/oppo-a6-pro-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/344650/oppo-a6-pro-4g-titan-thumbai-600x600.jpg
343067,Điện thoại,Điện thoại realme 15 Pro 5G 12GB/256GB,10240000,realme,Bạc,4.9,"Đã bán 1,7k",https://www.thegioididong.com/dtdd/realme-15-pro-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/343067/realme-15-pro-bac-thumb-600x600.jpg
343063,Điện thoại,Điện thoại realme 15T 5G 8GB/256GB,6940000,realme,Bạc,4.9,"Đã bán 20,4k",https://www.thegioididong.com/dtdd/realme-15t-5g-8gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/343063/realme-15t-bac-thumb-600x600.jpg
358225,Điện thoại,Điện thoại Motorola G86 POWER 5G 8GB/128GB,5840000,Motorola,Xanh tím,4.9,"Đã bán 8,5k",https://www.thegioididong.com/dtdd/motorola-moto-g86-5g-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/358225/motorola-moto-g86-5g-8gb-128gb-tim-thumb-600x600.jpg
358224,Điện thoại,Điện thoại Motorola Edge 60 Fusion 5G 8GB/256GB,6840000,Motorola,Xanh Nước Biển,4.9,"Đã bán 5,3k",https://www.thegioididong.com/dtdd/motorola-edge-60-fusion-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/358224/motorola-edge-60-fusion-8gb-256gb-xanh-thumb-1-600x600.jpg
358223,Điện thoại,Điện thoại Motorola Razr 60 5G 8GB/256GB,14040000,Motorola,Xanh Dương,5,Đã bán 907,https://www.thegioididong.com/dtdd/motorola-razr-60-8gb-256gb,https://cdn.tgdd.vn/Products/Images/42/358223/motorola-razr-60-8gb-256gb-xanh-thumb-1-600x600.jpg
338738,Điện thoại,Điện thoại Samsung Galaxy Z Fold7 5G 12GB/256GB,36090000,Samsung,Đen,5,Đã bán 4k,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold7,https://cdn.tgdd.vn/Products/Images/42/338738/samsung-galaxy-z-fold7-black-thumb-1-600x600.jpg
360309,Điện thoại,Điện thoại Xiaomi Redmi Note 15 Pro+ 5G 12GB/256GB,9990000,Xiaomi,Đen,4.9,"Đã bán 13,3k",https://www.thegioididong.com/dtdd/xiaomi-redmi-note-15-pro-plus-5g-12gb-256gb,https://cdn.tgdd.vn/Products/Images/42/360309/xiaomi-redmi-note-15-pro-plus-5g-12gb-256gb-den-thumb-600x600.jpg
343124,Điện thoại,Điện thoại OPPO A6 Pro 5G 8GB/256GB,10520000,OPPO,Xanh Dương,4.9,"Đã bán 33,4k",https://www.thegioididong.com/dtdd/oppo-a6-pro-5g-8gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/343124/oppo-a6-pro-5g-blue-thumbai-600x600.jpg
341625,Điện thoại,Điện thoại vivo V60 5G 12GB/256GB,14920000,vivo,Xám,4.9,"Đã bán 4,1k",https://www.thegioididong.com/dtdd/vivo-v60-12gb-256gb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/42/341625/vivo-v60-5g-xam-thumb-600x600.jpg
362919,Điện thoại,Điện thoại HONOR X8d 8GB/128GB,6340000,HONOR,Xanh Dương,5,"Đã bán 1,4k",https://www.thegioididong.com/dtdd/honor-x8d-8gb-128gb,https://cdn.tgdd.vn/Products/Images/42/362919/honor-x8d-8gb-128gb-xanh-thumb-600x600.jpg
361191,Điện thoại,Điện thoại OPPO A6t 4GB/64GB,4840000,OPPO,Xanh,5,"Đã bán 1,2k",https://www.thegioididong.com/dtdd/oppo-a6t-4gb-64gb,https://cdn.tgdd.vn/Products/Images/42/361191/oppo-a6t-xanh-thumb-600x600.jpg
